Depth_m,Azimuth_deg,Dip_deg
680.93,162.36,75.78
681.08,308.37,32.67
681.22,283.85,16.9
681.26,276.7,31.64
681.47,292.88,34.57
681.69,9.45,48.55
681.9,178.55,76.81
682.12,12.78,43.68
682.32,6,71.43
682.4,347.3,19.13
682.43,284.39,22.39
682.78,184.9,75.86
683.06,49.31,31.1
683.31,11.84,36.19
683.41,33.83,22.05
683.67,358.82,48.99
684.23,195.29,71.27
684.33,258.04,34.21
687.85,351.76,59.79
689.69,265.72,58.65
690.06,121.37,75.42
691.47,322.07,47.92
691.57,328.11,36.34
691.71,318.52,45.37
691.87,324.74,47.54
691.93,306.44,48.25
692.14,329.62,54.25
692.31,339.84,67.63
692.47,180.71,71.16
692.57,349.8,40.19
692.96,338.45,80.9
693.09,337.85,52.87
693.17,342.16,51.82
693.51,306.18,50.59
694.02,347.32,58.54
694.38,162.6,67.66
694.75,156.14,69.65
695.82,114.43,83.07
696.67,127.41,50.15
696.75,57.79,40.53
697.42,75.11,69.13
698.04,76.59,70.81
699.19,304.81,70.17
699.21,83.55,70
699.93,270.97,64.21
699.95,80.04,76.84
701.3,61.88,82.89
703.74,66.12,77.71
703.8,51.73,54.46
704.51,176.07,69.03
705.06,169.56,77.76
705.14,166.38,78.16
705.38,321.9,38.77
709.1,141.52,85.95
709.54,142.55,86.76
710.04,298.62,50.92
710.39,145.5,84.86
710.62,313.74,51.07
710.97,139.84,77.46
711.1,145.45,66.12
711.24,148.4,80.44
712.46,238.61,61.08
712.81,291.53,83.26
726.93,292.51,82.08
732.56,311.08,84.53
732.91,248.12,82.41
736.08,308.75,52.46
736.26,316.83,82.47
736.4,336.21,69.21
737.65,321.94,72.48
740.3,242.27,58.9
741.38,219.47,51.36
742.87,333.99,78.45
745.43,142.03,33.22
745.7,169.81,31.84
745.79,312.6,62.56
746.02,305.48,65.68
746.63,164.81,58.48
746.69,310.4,66.2
746.94,318.61,65.66
747.13,315.49,68.38
747.32,124.46,48.98
747.37,137.8,39.86
747.4,121.3,49.3
747.48,323.15,70.61
748.28,138.18,35.85
748.55,164.95,58
748.59,317.72,60.28
748.62,192.03,38.96
748.74,319.55,77.61
750.65,176.36,58.01
750.76,188.21,45.33
751.31,161.68,52.87
751.5,166.61,61.53
752.71,187.56,14.94
754.13,175.22,35.55
